Nest_ID,Egg_num,Length,Width
03barramgp505,1,50.4,33.8
03barramgp505,2,49.5,34.4
03barramgp505,3,50.5,34.2
03barramgp505,4,48.2,34.5
03barramgp514,1,48.3,34.4
03barramgp514,2,48.1,34.6
03barramgp514,3,48.5,34.4
03barramgp514,4,49.8,33.8
03barrdunl012,1,36.1,25.8
03barrdunl012,2,34.6,26.4
03barrdunl012,3,35.5,23.0
03barrdunl012,4,36.3,23.0
03barrdunl101,1,37.0,26.1
03barrdunl101,2,36.3,26.6
03barrdunl101,3,37.8,25.3
03barrdunl103,1,36.1,26.0
03barrdunl103,2,37.9,25.7
03barrdunl103,3,35.5,26.4
03barrdunl103,4,36.6,25.8
03barrdunl104,1,34.4,26.0
03barrdunl104,2,34.5,26.0
03barrdunl104,3,35.6,26.6
03barrdunl104,4,35.4,26.1
03barrdunl201,1,36.0,25.1
03barrdunl201,2,34.7,24.6
03barrdunl201,3,34.8,24.8
03barrdunl201,4,34.7,24.9
03barrdunl202,2,36.8,26.6
03barrdunl202,3,35.5,26.8
03barrdunl202,4,35.6,27.1
03barrdunl207,1,36.9,25.1
03barrdunl207,2,37.4,25.2
03barrdunl207,3,36.1,25.3
03barrdunl207,4,36.8,25.0
03barrdunl306,1,35.9,25.4
03barrdunl306,2,36.9,25.8
03barrdunl306,3,36.3,25.5
03barrdunl306,4,35.1,25.3
03barrdunl312,1,35.6,24.4
03barrdunl312,2,34.9,25.1
03barrdunl312,3,36.0,25.0
03barrdunl312,4,36.2,24.7
03barrdunl316,1,36.0,25.2
03barrdunl316,2,36.6,25.2
03barrdunl316,3,36.4,25.4
03barrdunl316,4,37.2,25.2
03barrdunl319,1,36.1,25.6
03barrdunl319,2,36.3,25.3
03barrdunl319,3,35.7,25.3
03barrdunl323,1,35.4,26.7
03barrdunl323,2,35.9,26.0
03barrdunl323,3,35.7,26.5
03barrdunl323,4,35.2,25.6
03barrdunl327,1,37.4,25.2
03barrdunl327,2,37.0,25.1
03barrdunl327,3,36.7,24.5
03barrdunl327,4,37.0,25.2
03barrdunl504,1,35.2,26.3
03barrdunl504,2,37.7,26.0
03barrdunl504,3,36.5,26.1
03barrdunl504,4,36.4,26.0
03barrdunl507,1,37.4,26.1
03barrdunl507,2,38.3,26.0
03barrdunl507,3,37.7,25.5
