Site,Nest_ID,Species
chur,14HPE1,sepl
barr,07barrsesa309,sesa
barr,07barrsesa310,sesa
barr,07barrsesa903,sesa
burn,13burnlesade01,lesa
made,10madeamgp001,amgp
barr,04barrdunl111,dunl
barr,06barrbbsa405,bbsa
barr,06barrreph517,reph
barr,07barramgp904,amgp
barr,07barrpesa56,pesa
barr,07barrsesa308,sesa
barr,07barrsesa911,sesa
barr,10barrdunl108,dunl
eaba,10eababba01,bbpl
eaba,10eabarpdm01,reph
eaba,10eabarpk02,reph
eaba,10eabarpk03,reph
eaba,10eabaruk12,rutu
eaba,10eabawrk02,wrsa
prba,13prba13bwr022,reph
barr,09barrdunl055,dunl
barr,10barrpesa406,pesa
barr,10barrpesa408,pesa
cakr,14cakrtusw003,tusw
eaba,10eaba41883,sepl
eaba,10eabarpa05,reph
eaba,10eabarpk06,reph
eaba,10eabarudm09,rutu
eaba,10eabasek02,sepl
eaba,10eabawra01,wrsa
eaba,10eabawrd03,wrsa
eaba,10eabawrk01,wrsa
eaba,10eabawrm09,wrsa
bylo,10byloamgpjfl31,amgp
bylo,14byloamgpfl01,amgp
bylo,14bylobasadl01,basa
bylo,14byloreknjl01,rekn
eaba,10eababba04,bbpl
eaba,10eababbk01,bbpl
eaba,10eabarpa04,reph
eaba,10eabarpk07,reph
eaba,10eabarpk08,reph
eaba,10eabarpm01,reph
eaba,10eabarpm02,reph
eaba,10eabased01,sepl
eaba,10eabasem01,sepl
eaba,10eabawra03,wrsa
eaba,10eabawrk03,wrsa
eaba,10eabawrm03,wrsa
prba,13prba13bwr014,lbdo
barr,03barrdunl203,dunl
barr,03barrdunl303,dunl
barr,03barrdunl304,dunl
barr,03barrdunl313,dunl
barr,03barrdunl316,dunl
barr,03barrdunl327,dunl
barr,03barrdunl504,dunl
barr,03barrdunl509,dunl
barr,03barrdunl701,dunl
barr,03barrlbdo407,lbdo
barr,03barrpesa404,pesa
barr,03barrpesa513,pesa
barr,03barrreph010,reph
barr,03barrreph102,reph
barr,03barrreph105,reph
barr,03barrreph302,reph
barr,03barrreph321,reph
barr,03barrreph324,reph
barr,03barrreph411,reph
barr,03barrsesa301,sesa
barr,04barramgp002,amgp
barr,04barramgp116,amgp
barr,04barramgp242,amgp
barr,04barramgp435,amgp
barr,04barrdunl029,dunl
barr,04barrdunl109,dunl
barr,04barrdunl112,dunl
barr,04barrdunl301,dunl
barr,04barrdunl400,dunl
barr,04barrdunl403,dunl
barr,04barrlbdo258,lbdo
barr,04barrlbdo348,lbdo
barr,04barrpesa031,pesa
barr,04barrpesa034,pesa
barr,04barrpesa253,pesa
barr,04barrpesa257,pesa
barr,04barrpesa259,pesa
barr,04barrpesa260,pesa
barr,04barrpesa263,pesa
barr,04barrpesa325,pesa
barr,04barrpesa342,pesa
barr,04barrpesa347,pesa
barr,04barrpesa416,pesa
barr,04barrreph003,reph
barr,04barrreph005,reph
barr,04barrreph006,reph
barr,04barrreph019,reph
barr,04barrreph026,reph
barr,04barrreph035,reph
barr,04barrreph110,reph
barr,04barrreph118,reph
barr,04barrreph200,reph
barr,04barrreph211,reph
barr,04barrreph221,reph
barr,04barrreph225,reph
barr,04barrreph228,reph
barr,04barrreph230,reph
barr,04barrreph233,reph
barr,04barrreph236,reph
barr,04barrreph237,reph
barr,04barrreph238,reph
barr,04barrreph239,reph
barr,04barrreph240,reph
barr,04barrreph251,reph
barr,04barrreph306,reph
barr,04barrreph309,reph
barr,04barrreph314,reph
barr,04barrreph316,reph
barr,04barrreph317,reph
barr,04barrreph329,reph
barr,04barrreph331,reph
barr,04barrreph332,reph
barr,04barrreph335,reph
barr,04barrreph336,reph
barr,04barrreph338,reph
barr,04barrreph343,reph
barr,04barrreph349,reph
barr,04barrreph350,reph
barr,04barrreph409,reph
barr,04barrreph417,reph
barr,04barrreph418,reph
barr,04barrreph419,reph
barr,04barrreph421,reph
barr,04barrreph430,reph
barr,04barrreph431,reph
barr,04barrreph432,reph
barr,04barrreph440,reph
barr,04barrsesa107,sesa
barr,04barrsesa232,sesa
barr,04barrsesa262,sesa
barr,04barrsesa330,sesa
barr,04barrsesa434,sesa
barr,04barrwrsa437,wrsa
barr,05barrdunl303,dunl
barr,05barrdunl360,dunl
barr,05barrpesa007,pesa
barr,05barrpesa021,pesa
barr,05barrpesa025,pesa
barr,05barrpesa112,pesa
barr,05barrpesa329,pesa
barr,05barrpesa330,pesa
barr,05barrpesa354,pesa
barr,05barrpesa363,pesa
barr,05barrpesa364,pesa
barr,05barrpesa403,pesa
barr,05barrpesa508,pesa
barr,05barrpesa525,pesa
barr,05barrpesa543,pesa
barr,05barrpesa545,pesa
barr,05barrpesa612,pesa
barr,05barrpesa615,pesa
barr,05barrreph011,reph
barr,05barrreph028,reph
barr,05barrreph109,reph
barr,05barrreph117,reph
barr,05barrreph203,reph
barr,05barrreph205,reph
barr,05barrreph207,reph
barr,05barrreph308,reph
barr,05barrreph314,reph
barr,05barrreph315,reph
barr,05barrreph318,reph
barr,05barrreph331,reph
barr,05barrreph335,reph
barr,05barrreph336,reph
barr,05barrreph340,reph
barr,05barrreph348,reph
barr,05barrreph350,reph
barr,05barrreph361,reph
barr,05barrreph362,reph
barr,05barrreph426,reph
barr,05barrreph520,reph
barr,05barrreph534,reph
barr,05barrrnph358,rnph
barr,05barrsesa334,sesa
barr,06barrbbsa002,bbsa
barr,06barrbbsa015,bbsa
barr,06barrbbsa255,bbsa
barr,06barrbbsa269,bbsa
barr,06barrbbsa615,bbsa
barr,06barrbbsa627,bbsa
barr,06barrdunl101,dunl
barr,06barrdunl209,dunl
barr,06barrdunl297,dunl
barr,06barrdunl377,dunl
barr,06barrdunl401,dunl
barr,06barrdunl714,dunl
barr,06barrdunla,dunl
barr,06barrdunlb,dunl
barr,06barrlbdo060,lbdo
